Arrival_Date,Room_Category,Fare_Class,Actual_Showups,Total_Unconstrained_Demand,Simulated_Cancellations
2023-01-04,Standard,Y1_High,3,4,1
2023-01-04,Standard,Y2_Medium,9,16,7
2023-01-04,Standard,Y3_Low,12,21,9
2023-01-04,Superior,Y3_Low,1,1,0
2023-01-05,Family,Y3_Low,1,3,2
2023-01-05,Standard,Y1_High,1,2,1
2023-01-05,Standard,Y2_Medium,9,9,0
2023-01-05,Standard,Y3_Low,13,17,4
2023-01-05,Superior,Y3_Low,1,3,2
2023-01-06,Family,Y2_Medium,2,2,0
2023-01-06,Other,Y1_High,1,1,0
2023-01-06,Other,Y2_Medium,2,3,1
2023-01-06,Other,Y3_Low,2,2,0
2023-01-06,Standard,Y1_High,2,5,3
2023-01-06,Standard,Y2_Medium,7,7,0
2023-01-06,Standard,Y3_Low,16,16,0
2023-01-07,Other,Y1_High,3,7,4
2023-01-07,Other,Y3_Low,3,3,0
2023-01-07,Standard,Y1_High,2,2,0
2023-01-07,Standard,Y2_Medium,6,6,0
2023-01-07,Standard,Y3_Low,22,30,8
2023-01-07,Superior,Y3_Low,1,1,0
2023-01-08,Other,Y2_Medium,2,3,1
2023-01-08,Other,Y3_Low,3,3,0
2023-01-08,Standard,Y1_High,2,2,0
2023-01-08,Standard,Y2_Medium,4,6,2
2023-01-08,Standard,Y3_Low,16,18,2
2023-01-08,Superior,Y2_Medium,1,1,0
2023-01-08,Superior,Y3_Low,3,5,2
2023-01-09,Other,Y2_Medium,3,9,6
2023-01-09,Standard,Y1_High,1,1,0
2023-01-09,Standard,Y2_Medium,4,5,1
2023-01-09,Standard,Y3_Low,11,16,5
2023-01-10,Other,Y2_Medium,1,1,0
2023-01-10,Other,Y3_Low,2,2,0
2023-01-10,Standard,Y1_High,1,1,0
2023-01-10,Standard,Y2_Medium,2,4,2
2023-01-10,Standard,Y3_Low,15,24,9
2023-01-10,Superior,Y3_Low,1,1,0
2023-01-11,Other,Y3_Low,1,2,1
2023-01-11,Standard,Y2_Medium,2,4,2
2023-01-11,Standard,Y3_Low,7,11,4
2023-01-12,Family,Y2_Medium,2,5,3
2023-01-12,Other,Y2_Medium,1,1,0
2023-01-12,Other,Y3_Low,1,1,0
2023-01-12,Standard,Y2_Medium,3,3,0
2023-01-12,Standard,Y3_Low,15,23,8
2023-01-12,Superior,Y1_High,1,2,1
2023-01-13,Deluxe,Y3_Low,1,1,0
2023-01-13,Other,Y1_High,1,1,0
2023-01-13,Other,Y3_Low,1,1,0
2023-01-13,Standard,Y1_High,2,4,2
2023-01-13,Standard,Y2_Medium,1,1,0
2023-01-13,Standard,Y3_Low,9,15,6
2023-01-14,Deluxe,Y3_Low,1,1,0
2023-01-14,Other,Y1_High,2,3,1
2023-01-14,Standard,Y1_High,3,3,0
2023-01-14,Standard,Y2_Medium,6,11,5
2023-01-14,Standard,Y3_Low,25,33,8
2023-01-14,Superior,Y1_High,1,1,0
2023-01-14,Superior,Y2_Medium,1,1,0
2023-01-15,Family,Y2_Medium,2,2,0
2023-01-15,Family,Y3_Low,4,4,0
2023-01-15,Standard,Y1_High,2,2,0
2023-01-15,Standard,Y2_Medium,4,4,0
2023-01-15,Standard,Y3_Low,20,26,6
2023-01-16,Other,Y2_Medium,2,2,0
2023-01-16,Standard,Y2_Medium,6,8,2
2023-01-16,Standard,Y3_Low,12,22,10
2023-01-16,Superior,Y3_Low,2,3,1
2023-01-17,Standard,Y1_High,2,3,1
2023-01-17,Standard,Y3_Low,15,15,0
2023-01-18,Standard,Y2_Medium,6,6,0
2023-01-18,Standard,Y3_Low,10,14,4
2023-01-19,Standard,Y1_High,1,1,0
2023-01-19,Standard,Y2_Medium,3,3,0
2023-01-19,Standard,Y3_Low,21,22,1
2023-01-19,Superior,Y2_Medium,1,1,0
2023-01-19,Superior,Y3_Low,1,1,0
2023-01-20,Family,Y3_Low,2,2,0
2023-01-20,Other,Y2_Medium,1,2,1
2023-01-20,Standard,Y2_Medium,3,3,0
2023-01-20,Standard,Y3_Low,20,27,7
2023-01-21,Family,Y2_Medium,1,5,4
2023-01-21,Standard,Y1_High,1,2,1
2023-01-21,Standard,Y2_Medium,14,22,8
2023-01-21,Standard,Y3_Low,23,23,0
2023-01-21,Superior,Y2_Medium,1,1,0
2023-01-22,Other,Y1_High,1,3,2
2023-01-22,Other,Y2_Medium,1,1,0
2023-01-22,Standard,Y2_Medium,5,5,0
2023-01-22,Standard,Y3_Low,29,31,2
2023-01-23,Standard,Y1_High,4,6,2
2023-01-23,Standard,Y2_Medium,11,16,5
2023-01-23,Standard,Y3_Low,11,19,8
2023-01-24,Other,Y1_High,2,2,0
2023-01-24,Other,Y2_Medium,1,1,0
2023-01-24,Other,Y3_Low,5,5,0
2023-01-24,Standard,Y2_Medium,3,4,1
2023-01-24,Standard,Y3_Low,13,14,1
2023-01-25,Deluxe,Y3_Low,1,3,2
2023-01-25,Family,Y3_Low,2,2,0
2023-01-25,Other,Y3_Low,12,12,0
2023-01-25,Standard,Y1_High,1,1,0
2023-01-25,Standard,Y2_Medium,1,2,1
2023-01-25,Standard,Y3_Low,20,25,5
2023-01-26,Deluxe,Y3_Low,1,1,0
2023-01-26,Other,Y2_Medium,2,2,0
2023-01-26,Other,Y3_Low,6,6,0
2023-01-26,Standard,Y1_High,1,3,2
2023-01-26,Standard,Y2_Medium,12,18,6
2023-01-26,Standard,Y3_Low,53,62,9
2023-01-27,Deluxe,Y3_Low,1,2,1
2023-01-27,Family,Y3_Low,3,5,2
2023-01-27,Other,Y1_High,1,2,1
2023-01-27,Other,Y2_Medium,2,2,0
2023-01-27,Other,Y3_Low,3,3,0
2023-01-27,Standard,Y2_Medium,2,3,1
2023-01-27,Standard,Y3_Low,29,29,0
2023-01-28,Deluxe,Y3_Low,1,1,0
2023-01-28,Family,Y3_Low,6,8,2
2023-01-28,Other,Y2_Medium,5,6,1
2023-01-28,Other,Y3_Low,18,20,2
2023-01-28,Standard,Y2_Medium,20,28,8
2023-01-28,Standard,Y3_Low,32,37,5
2023-01-29,Other,Y3_Low,2,4,2
2023-01-29,Standard,Y1_High,1,5,4
2023-01-29,Standard,Y2_Medium,12,13,1
2023-01-29,Standard,Y3_Low,28,31,3
2023-01-29,Superior,Y1_High,1,1,0
2023-01-30,Other,Y2_Medium,2,2,0
2023-01-30,Other,Y3_Low,4,4,0
2023-01-30,Standard,Y1_High,2,2,0
2023-01-30,Standard,Y2_Medium,8,8,0
2023-01-30,Standard,Y3_Low,25,29,4
2023-01-30,Superior,Y2_Medium,1,1,0
2023-01-30,Superior,Y3_Low,1,1,0
2023-01-31,Family,Y1_High,2,3,1
2023-01-31,Family,Y3_Low,2,2,0
2023-01-31,Other,Y3_Low,4,5,1
2023-01-31,Standard,Y2_Medium,6,6,0
2023-01-31,Standard,Y3_Low,17,17,0
2023-01-31,Superior,Y3_Low,1,1,0
2023-02-01,Family,Y3_Low,2,3,1
2023-02-01,Other,Y2_Medium,7,8,1
2023-02-01,Other,Y3_Low,12,14,2
2023-02-01,Standard,Y1_High,1,1,0
2023-02-01,Standard,Y2_Medium,9,11,2
2023-02-01,Standard,Y3_Low,21,21,0
2023-02-01,Superior,Y2_Medium,1,3,2
2023-02-02,Family,Y2_Medium,2,3,1
2023-02-02,Family,Y3_Low,2,2,0
2023-02-02,Other,Y2_Medium,1,2,1
2023-02-02,Other,Y3_Low,7,7,0
2023-02-02,Standard,Y1_High,2,2,0
2023-02-02,Standard,Y2_Medium,11,11,0
2023-02-02,Standard,Y3_Low,24,28,4
2023-02-02,Suite,Y3_Low,1,1,0
2023-02-03,Other,Y3_Low,7,10,3
2023-02-03,Standard,Y1_High,3,3,0
2023-02-03,Standard,Y2_Medium,5,7,2
2023-02-03,Standard,Y3_Low,34,36,2
2023-02-04,Deluxe,Y3_Low,1,1,0
2023-02-04,Family,Y3_Low,4,4,0
2023-02-04,Other,Y1_High,2,3,1
2023-02-04,Other,Y2_Medium,3,3,0
2023-02-04,Standard,Y1_High,3,3,0
2023-02-04,Standard,Y2_Medium,12,12,0
2023-02-04,Standard,Y3_Low,22,22,0
2023-02-04,Suite,Y2_Medium,1,1,0
2023-02-04,Superior,Y2_Medium,1,2,1
2023-02-04,Superior,Y3_Low,1,2,1
2023-02-05,Family,Y3_Low,4,7,3
2023-02-05,Other,Y2_Medium,3,3,0
2023-02-05,Other,Y3_Low,2,2,0
2023-02-05,Standard,Y1_High,1,1,0
2023-02-05,Standard,Y2_Medium,11,13,2
2023-02-05,Standard,Y3_Low,29,45,16
2023-02-05,Superior,Y3_Low,4,4,0
2023-02-06,Family,Y2_Medium,2,6,4
2023-02-06,Family,Y3_Low,2,2,0
2023-02-06,Other,Y2_Medium,2,4,2
2023-02-06,Standard,Y1_High,3,4,1
2023-02-06,Standard,Y2_Medium,6,10,4
2023-02-06,Standard,Y3_Low,17,17,0
2023-02-06,Superior,Y3_Low,1,3,2
2023-02-07,Family,Y3_Low,4,5,1
2023-02-07,Other,Y2_Medium,4,5,1
2023-02-07,Other,Y3_Low,44,51,7
2023-02-07,Standard,Y1_High,3,3,0
2023-02-07,Standard,Y2_Medium,10,16,6
2023-02-07,Standard,Y3_Low,24,38,14
2023-02-07,Superior,Y1_High,1,1,0
2023-02-08,Other,Y1_High,1,1,0
2023-02-08,Other,Y2_Medium,1,1,0
2023-02-08,Other,Y3_Low,1,1,0
2023-02-08,Standard,Y1_High,3,3,0
2023-02-08,Standard,Y2_Medium,3,3,0
2023-02-08,Standard,Y3_Low,14,15,1
2023-02-09,Family,Y2_Medium,4,5,1
2023-02-09,Other,Y3_Low,4,6,2
2023-02-09,Standard,Y2_Medium,3,5,2
2023-02-09,Standard,Y3_Low,23,33,10
2023-02-10,Deluxe,Y3_Low,1,1,0
2023-02-10,Family,Y3_Low,2,2,0
2023-02-10,Other,Y1_High,1,2,1
2023-02-10,Other,Y3_Low,2,2,0
2023-02-10,Standard,Y3_Low,5,5,0
2023-02-10,Superior,Y1_High,1,1,0
2023-02-11,Family,Y3_Low,4,4,0
2023-02-11,Other,Y1_High,2,2,0
2023-02-11,Other,Y2_Medium,3,5,2
2023-02-11,Other,Y3_Low,2,2,0
2023-02-11,Standard,Y1_High,2,5,3
2023-02-11,Standard,Y2_Medium,12,12,0
2023-02-11,Standard,Y3_Low,26,27,1
2023-02-11,Superior,Y3_Low,1,2,1
2023-02-12,Family,Y1_High,1,2,1
2023-02-12,Family,Y2_Medium,2,2,0
2023-02-12,Other,Y2_Medium,1,1,0
2023-02-12,Standard,Y1_High,2,2,0
2023-02-12,Standard,Y2_Medium,5,6,1
2023-02-12,Standard,Y3_Low,21,21,0
2023-02-12,Superior,Y3_Low,2,3,1
2023-02-13,Deluxe,Y3_Low,1,2,1
2023-02-13,Family,Y3_Low,4,5,1
2023-02-13,Other,Y3_Low,1,1,0
2023-02-13,Standard,Y1_High,2,2,0
2023-02-13,Standard,Y2_Medium,3,3,0
2023-02-13,Standard,Y3_Low,19,19,0
2023-02-13,Superior,Y3_Low,1,3,2
2023-02-14,Family,Y3_Low,8,10,2
2023-02-14,Other,Y2_Medium,1,2,1
2023-02-14,Other,Y3_Low,1,3,2
2023-02-14,Standard,Y2_Medium,3,3,0
2023-02-14,Standard,Y3_Low,9,9,0
2023-02-14,Superior,Y3_Low,2,2,0
2023-02-15,Family,Y2_Medium,2,6,4
2023-02-15,Family,Y3_Low,4,4,0
2023-02-15,Other,Y1_High,1,1,0
2023-02-15,Other,Y2_Medium,2,2,0
2023-02-15,Other,Y3_Low,1,1,0
2023-02-15,Standard,Y1_High,2,2,0
2023-02-15,Standard,Y2_Medium,5,5,0
2023-02-15,Standard,Y3_Low,21,27,6
2023-02-15,Superior,Y3_Low,1,1,0
2023-02-16,Deluxe,Y3_Low,2,6,4
2023-02-16,Family,Y3_Low,1,1,0
2023-02-16,Other,Y3_Low,3,3,0
2023-02-16,Standard,Y2_Medium,10,12,2
2023-02-16,Standard,Y3_Low,14,18,4
2023-02-17,Family,Y3_Low,2,2,0
2023-02-17,Other,Y3_Low,1,3,2
2023-02-17,Standard,Y1_High,2,3,1
2023-02-17,Standard,Y2_Medium,3,4,1
2023-02-17,Standard,Y3_Low,25,25,0
2023-02-17,Superior,Y1_High,1,3,2
2023-02-17,Superior,Y3_Low,1,4,3
2023-02-18,Family,Y2_Medium,1,1,0
2023-02-18,Family,Y3_Low,4,4,0
2023-02-18,Other,Y2_Medium,4,5,1
2023-02-18,Other,Y3_Low,1,2,1
2023-02-18,Standard,Y2_Medium,14,20,6
2023-02-18,Standard,Y3_Low,30,30,0
2023-02-18,Superior,Y3_Low,4,7,3
2023-02-19,Family,Y3_Low,8,10,2
2023-02-19,Other,Y2_Medium,1,1,0
2023-02-19,Standard,Y1_High,4,4,0
2023-02-19,Standard,Y2_Medium,11,11,0
2023-02-19,Standard,Y3_Low,23,23,0
2023-02-20,Family,Y2_Medium,1,1,0
2023-02-20,Other,Y2_Medium,1,1,0
2023-02-20,Other,Y3_Low,2,2,0
2023-02-20,Standard,Y1_High,1,3,2
2023-02-20,Standard,Y2_Medium,4,5,1
2023-02-20,Standard,Y3_Low,14,18,4
2023-02-20,Superior,Y3_Low,2,2,0
2023-02-21,Family,Y2_Medium,2,4,2
2023-02-21,Other,Y2_Medium,1,3,2
2023-02-21,Standard,Y2_Medium,4,4,0
2023-02-21,Standard,Y3_Low,15,22,7
2023-02-22,Other,Y2_Medium,3,4,1
2023-02-22,Other,Y3_Low,1,1,0
2023-02-22,Standard,Y1_High,1,2,1
2023-02-22,Standard,Y2_Medium,13,14,1
2023-02-22,Standard,Y3_Low,23,27,4
2023-02-22,Superior,Y1_High,1,1,0
2023-02-22,Superior,Y3_Low,1,1,0
2023-02-23,Family,Y3_Low,2,2,0
2023-02-23,Other,Y1_High,1,2,1
2023-02-23,Other,Y2_Medium,1,2,1
2023-02-23,Other,Y3_Low,3,6,3
2023-02-23,Standard,Y1_High,5,5,0
2023-02-23,Standard,Y2_Medium,13,21,8
2023-02-23,Standard,Y3_Low,15,25,10
2023-02-23,Superior,Y3_Low,1,1,0
2023-02-24,Other,Y3_Low,1,1,0
2023-02-24,Standard,Y2_Medium,14,17,3
2023-02-24,Standard,Y3_Low,22,23,1
2023-02-24,Superior,Y1_High,1,1,0
2023-02-25,Family,Y2_Medium,1,1,0
2023-02-25,Other,Y1_High,1,1,0
2023-02-25,Other,Y3_Low,2,2,0
2023-02-25,Standard,Y1_High,6,10,4
2023-02-25,Standard,Y2_Medium,12,16,4
2023-02-25,Standard,Y3_Low,26,46,20
2023-02-25,Superior,Y3_Low,2,2,0
2023-02-26,Family,Y3_Low,2,3,1
2023-02-26,Other,Y2_Medium,3,4,1
2023-02-26,Standard,Y1_High,3,5,2
2023-02-26,Standard,Y2_Medium,33,40,7
2023-02-26,Standard,Y3_Low,16,18,2
2023-02-27,Family,Y3_Low,2,2,0
2023-02-27,Other,Y3_Low,3,3,0
2023-02-27,Standard,Y2_Medium,5,5,0
2023-02-27,Standard,Y3_Low,8,8,0
2023-02-28,Family,Y3_Low,2,2,0
2023-02-28,Other,Y2_Medium,1,1,0
2023-02-28,Other,Y3_Low,2,2,0
2023-02-28,Standard,Y2_Medium,8,13,5
2023-02-28,Standard,Y3_Low,5,5,0
2023-02-28,Superior,Y3_Low,1,1,0
2023-03-01,Deluxe,Y3_Low,1,1,0
2023-03-01,Other,Y2_Medium,1,3,2
2023-03-01,Other,Y3_Low,2,2,0
2023-03-01,Standard,Y1_High,2,3,1
2023-03-01,Standard,Y2_Medium,13,13,0
2023-03-01,Standard,Y3_Low,14,17,3
2023-03-02,Family,Y3_Low,2,2,0
2023-03-02,Other,Y3_Low,4,4,0
2023-03-02,Standard,Y1_High,3,3,0
2023-03-02,Standard,Y2_Medium,26,26,0
2023-03-02,Standard,Y3_Low,35,50,15
2023-03-02,Superior,Y3_Low,1,1,0
2023-03-03,Deluxe,Y3_Low,1,1,0
2023-03-03,Other,Y3_Low,4,5,1
2023-03-03,Standard,Y2_Medium,11,14,3
2023-03-03,Standard,Y3_Low,49,62,13
2023-03-04,Deluxe,Y3_Low,1,1,0
2023-03-04,Family,Y3_Low,2,4,2
2023-03-04,Other,Y1_High,2,2,0
2023-03-04,Other,Y3_Low,6,6,0
2023-03-04,Standard,Y1_High,4,4,0
2023-03-04,Standard,Y2_Medium,16,17,1
2023-03-04,Standard,Y3_Low,21,23,2
2023-03-04,Superior,Y1_High,1,1,0
2023-03-04,Superior,Y3_Low,2,5,3
2023-03-05,Family,Y3_Low,4,8,4
2023-03-05,Other,Y1_High,1,1,0
2023-03-05,Other,Y3_Low,5,9,4
2023-03-05,Standard,Y1_High,3,3,0
2023-03-05,Standard,Y2_Medium,15,15,0
2023-03-05,Standard,Y3_Low,12,12,0
2023-03-06,Other,Y1_High,1,2,1
2023-03-06,Other,Y3_Low,96,123,27
2023-03-06,Standard,Y1_High,1,1,0
2023-03-06,Standard,Y2_Medium,1,1,0
2023-03-06,Standard,Y3_Low,2,3,1
2023-03-07,Family,Y1_High,1,1,0
2023-03-07,Family,Y3_Low,2,2,0
2023-03-07,Other,Y1_High,2,4,2
2023-03-07,Other,Y3_Low,22,32,10
2023-03-07,Standard,Y1_High,1,1,0
2023-03-07,Standard,Y2_Medium,13,13,0
2023-03-07,Standard,Y3_Low,22,25,3
2023-03-07,Superior,Y3_Low,1,1,0
2023-03-08,Family,Y3_Low,2,2,0
2023-03-08,Other,Y1_High,1,4,3
2023-03-08,Other,Y3_Low,8,13,5
2023-03-08,Standard,Y1_High,10,12,2
2023-03-08,Standard,Y2_Medium,11,19,8
2023-03-08,Standard,Y3_Low,5,8,3
2023-03-09,Other,Y1_High,3,3,0
2023-03-09,Other,Y2_Medium,1,1,0
2023-03-09,Other,Y3_Low,7,7,0
2023-03-09,Standard,Y1_High,4,4,0
2023-03-09,Standard,Y2_Medium,17,17,0
2023-03-09,Standard,Y3_Low,11,14,3
2023-03-09,Superior,Y3_Low,1,2,1
2023-03-10,Deluxe,Y3_Low,1,1,0
2023-03-10,Other,Y1_High,1,1,0
2023-03-10,Other,Y2_Medium,2,2,0
2023-03-10,Other,Y3_Low,4,7,3
2023-03-10,Standard,Y1_High,1,1,0
2023-03-10,Standard,Y2_Medium,9,11,2
2023-03-10,Standard,Y3_Low,26,30,4
2023-03-10,Superior,Y3_Low,1,1,0
2023-03-11,Other,Y1_High,1,2,1
2023-03-11,Other,Y3_Low,8,9,1
2023-03-11,Standard,Y1_High,5,6,1
2023-03-11,Standard,Y2_Medium,21,21,0
2023-03-11,Standard,Y3_Low,24,28,4
2023-03-11,Superior,Y3_Low,2,7,5
2023-03-12,Other,Y1_High,2,2,0
2023-03-12,Other,Y2_Medium,1,1,0
2023-03-12,Other,Y3_Low,6,7,1
2023-03-12,Standard,Y1_High,6,6,0
2023-03-12,Standard,Y2_Medium,14,21,7
2023-03-12,Standard,Y3_Low,26,41,15
2023-03-12,Superior,Y3_Low,1,2,1
2023-03-13,Family,Y3_Low,2,5,3
2023-03-13,Other,Y1_High,2,4,2
2023-03-13,Other,Y3_Low,3,3,0
2023-03-13,Standard,Y1_High,2,3,1
2023-03-13,Standard,Y2_Medium,9,12,3
2023-03-13,Standard,Y3_Low,10,10,0
2023-03-13,Superior,Y3_Low,1,2,1
2023-03-14,Family,Y3_Low,2,2,0
2023-03-14,Other,Y1_High,2,2,0
2023-03-14,Other,Y2_Medium,2,3,1
2023-03-14,Standard,Y1_High,1,1,0
2023-03-14,Standard,Y2_Medium,10,13,3
2023-03-14,Standard,Y3_Low,14,17,3
2023-03-15,Family,Y3_Low,2,2,0
2023-03-15,Other,Y1_High,1,1,0
2023-03-15,Other,Y2_Medium,1,2,1
2023-03-15,Standard,Y1_High,3,3,0
2023-03-15,Standard,Y2_Medium,20,25,5
2023-03-15,Standard,Y3_Low,15,22,7
2023-03-16,Other,Y1_High,2,2,0
2023-03-16,Other,Y3_Low,2,2,0
2023-03-16,Standard,Y1_High,6,11,5
2023-03-16,Standard,Y2_Medium,22,33,11
2023-03-16,Standard,Y3_Low,13,20,7
2023-03-17,Other,Y2_Medium,3,5,2
2023-03-17,Other,Y3_Low,1,1,0
2023-03-17,Standard,Y2_Medium,20,30,10
2023-03-17,Standard,Y3_Low,20,25,5
2023-03-17,Superior,Y3_Low,2,2,0
2023-03-18,Other,Y1_High,6,6,0
2023-03-18,Other,Y2_Medium,2,2,0
2023-03-18,Standard,Y1_High,5,7,2
2023-03-18,Standard,Y2_Medium,22,29,7
2023-03-18,Standard,Y3_Low,29,30,1
2023-03-18,Superior,Y3_Low,2,2,0
2023-03-19,Other,Y2_Medium,1,1,0
2023-03-19,Other,Y3_Low,2,2,0
2023-03-19,Standard,Y1_High,2,5,3
2023-03-19,Standard,Y2_Medium,14,19,5
2023-03-19,Standard,Y3_Low,5,5,0
2023-03-20,Family,Y2_Medium,2,4,2
2023-03-20,Other,Y1_High,1,1,0
2023-03-20,Other,Y2_Medium,2,3,1
2023-03-20,Other,Y3_Low,1,1,0
2023-03-20,Standard,Y1_High,5,5,0
2023-03-20,Standard,Y2_Medium,18,18,0
2023-03-20,Standard,Y3_Low,16,16,0
2023-03-21,Other,Y1_High,2,3,1
2023-03-21,Standard,Y2_Medium,18,21,3
2023-03-21,Standard,Y3_Low,5,8,3
2023-03-21,Superior,Y3_Low,1,1,0
2023-03-22,Family,Y3_Low,3,3,0
2023-03-22,Other,Y1_High,1,1,0
2023-03-22,Other,Y2_Medium,1,1,0
2023-03-22,Standard,Y1_High,1,3,2
2023-03-22,Standard,Y2_Medium,12,15,3
2023-03-22,Standard,Y3_Low,5,6,1
2023-03-23,Other,Y1_High,3,3,0
2023-03-23,Other,Y2_Medium,3,5,2
2023-03-23,Standard,Y1_High,1,1,0
2023-03-23,Standard,Y2_Medium,14,16,2
2023-03-23,Standard,Y3_Low,13,14,1
2023-03-23,Superior,Y3_Low,2,2,0
2023-03-24,Deluxe,Y3_Low,1,1,0
2023-03-24,Family,Y2_Medium,2,4,2
2023-03-24,Other,Y1_High,1,3,2
2023-03-24,Other,Y2_Medium,5,5,0
2023-03-24,Standard,Y1_High,4,5,1
2023-03-24,Standard,Y2_Medium,14,14,0
2023-03-24,Standard,Y3_Low,9,10,1
2023-03-24,Superior,Y3_Low,1,1,0
2023-03-25,Family,Y1_High,2,2,0
2023-03-25,Family,Y3_Low,8,12,4
2023-03-25,Other,Y1_High,2,3,1
2023-03-25,Other,Y2_Medium,1,1,0
2023-03-25,Standard,Y1_High,6,7,1
2023-03-25,Standard,Y2_Medium,24,24,0
2023-03-25,Standard,Y3_Low,11,11,0
2023-03-25,Superior,Y3_Low,2,5,3
2023-03-26,Family,Y1_High,1,3,2
2023-03-26,Family,Y3_Low,4,5,1
2023-03-26,Other,Y1_High,4,7,3
2023-03-26,Other,Y2_Medium,1,3,2
2023-03-26,Standard,Y1_High,6,6,0
2023-03-26,Standard,Y2_Medium,16,22,6
2023-03-26,Standard,Y3_Low,3,3,0
2023-03-26,Superior,Y1_High,1,2,1
2023-03-26,Superior,Y2_Medium,1,1,0
2023-03-27,Family,Y3_Low,4,4,0
2023-03-27,Other,Y1_High,1,1,0
2023-03-27,Other,Y2_Medium,1,1,0
2023-03-27,Standard,Y2_Medium,10,12,2
2023-03-27,Standard,Y3_Low,10,10,0
2023-03-28,Family,Y1_High,2,2,0
2023-03-28,Family,Y2_Medium,5,5,0
2023-03-28,Family,Y3_Low,5,5,0
2023-03-28,Standard,Y1_High,7,11,4
2023-03-28,Standard,Y2_Medium,9,12,3
2023-03-28,Standard,Y3_Low,13,13,0
2023-03-29,Family,Y1_High,2,2,0
2023-03-29,Standard,Y1_High,1,2,1
2023-03-29,Standard,Y2_Medium,16,16,0
2023-03-29,Standard,Y3_Low,10,11,1
2023-03-29,Superior,Y3_Low,1,2,1
2023-03-30,Family,Y1_High,1,1,0
2023-03-30,Family,Y3_Low,6,6,0
2023-03-30,Other,Y3_Low,1,1,0
2023-03-30,Standard,Y1_High,4,6,2
2023-03-30,Standard,Y2_Medium,7,9,2
2023-03-30,Standard,Y3_Low,6,9,3
2023-03-30,Superior,Y1_High,1,2,1
2023-03-31,Family,Y1_High,2,2,0
2023-03-31,Family,Y2_Medium,4,10,6
2023-03-31,Family,Y3_Low,5,5,0
2023-03-31,Other,Y2_Medium,3,3,0
2023-03-31,Other,Y3_Low,1,3,2
2023-03-31,Standard,Y2_Medium,19,29,10
2023-03-31,Standard,Y3_Low,2,3,1
2023-03-31,Superior,Y3_Low,2,2,0
2023-04-01,Family,Y1_High,3,3,0
2023-04-01,Family,Y2_Medium,4,10,6
2023-04-01,Family,Y3_Low,12,13,1
2023-04-01,Other,Y1_High,2,2,0
2023-04-01,Other,Y2_Medium,6,7,1
2023-04-01,Other,Y3_Low,1,1,0
2023-04-01,Standard,Y1_High,6,6,0
2023-04-01,Standard,Y2_Medium,18,23,5
2023-04-01,Standard,Y3_Low,15,25,10
2023-04-01,Superior,Y2_Medium,3,6,3
2023-04-02,Family,Y1_High,4,4,0
2023-04-02,Family,Y2_Medium,7,10,3
2023-04-02,Other,Y1_High,1,2,1
2023-04-02,Other,Y2_Medium,2,2,0
2023-04-02,Other,Y3_Low,1,1,0
2023-04-02,Standard,Y1_High,5,6,1
2023-04-02,Standard,Y2_Medium,13,13,0
2023-04-02,Standard,Y3_Low,16,18,2
2023-04-02,Superior,Y2_Medium,2,3,1
2023-04-03,Family,Y2_Medium,3,6,3
2023-04-03,Family,Y3_Low,8,13,5
2023-04-03,Standard,Y1_High,4,5,1
2023-04-03,Standard,Y2_Medium,26,33,7
2023-04-03,Standard,Y3_Low,13,13,0
2023-04-03,Superior,Y2_Medium,1,1,0
2023-04-03,Superior,Y3_Low,1,4,3
2023-04-04,Family,Y1_High,2,2,0
2023-04-04,Family,Y2_Medium,4,4,0
2023-04-04,Family,Y3_Low,6,9,3
2023-04-04,Other,Y3_Low,4,8,4
2023-04-04,Standard,Y1_High,14,19,5
2023-04-04,Standard,Y2_Medium,21,22,1
2023-04-04,Standard,Y3_Low,11,17,6
2023-04-04,Superior,Y2_Medium,2,2,0
2023-04-04,Superior,Y3_Low,1,1,0
2023-04-05,Family,Y1_High,5,8,3
2023-04-05,Family,Y2_Medium,2,2,0
2023-04-05,Family,Y3_Low,5,8,3
2023-04-05,Other,Y1_High,2,3,1
2023-04-05,Other,Y2_Medium,3,6,3
2023-04-05,Standard,Y1_High,3,4,1
2023-04-05,Standard,Y2_Medium,9,9,0
2023-04-05,Standard,Y3_Low,17,17,0
2023-04-05,Superior,Y2_Medium,1,1,0
2023-04-05,Superior,Y3_Low,1,2,1
2023-04-06,Family,Y1_High,4,7,3
2023-04-06,Family,Y2_Medium,10,10,0
2023-04-06,Family,Y3_Low,2,2,0
2023-04-06,Other,Y1_High,2,2,0
2023-04-06,Standard,Y1_High,7,11,4
2023-04-06,Standard,Y2_Medium,21,24,3
2023-04-06,Standard,Y3_Low,8,9,1
2023-04-06,Superior,Y2_Medium,2,2,0
2023-04-06,Superior,Y3_Low,4,4,0
2023-04-07,Deluxe,Y3_Low,1,3,2
2023-04-07,Family,Y2_Medium,2,3,1
2023-04-07,Family,Y3_Low,10,10,0
2023-04-07,Other,Y1_High,3,3,0
2023-04-07,Other,Y2_Medium,1,1,0
2023-04-07,Standard,Y1_High,3,5,2
2023-04-07,Standard,Y2_Medium,16,16,0
2023-04-07,Standard,Y3_Low,10,12,2
2023-04-07,Superior,Y1_High,1,1,0
2023-04-07,Superior,Y2_Medium,1,1,0
2023-04-08,Deluxe,Y3_Low,1,1,0
2023-04-08,Family,Y1_High,3,4,1
2023-04-08,Family,Y2_Medium,5,5,0
2023-04-08,Family,Y3_Low,2,4,2
